player_name,market_value_eur_millions
Bum-keun Song,1.0
Hyeon-woo Jo,0.7
Seung-gyu Kim,0.6
Min-jae Kim,25.0
Ji-soo Kim,2.0
Han-beom Lee,1.8
Ju-sung Kim,0.75
Tae-hyeon Kim,0.7
Jun-soo Byeon,0.5
Tae-seok Lee,1.2
Myung-jae Lee,0.45
Young-woo Seol,4.5
Moon-hwan Kim,0.8
Jin-seob Park,1.0
Du-jae Won,0.9
Jens Castrop,6.0
Seung-ho Paik,2.5
Jin-gyu Kim,1.2
Kang-in Lee,25.0
Jun-ho Bae,3.0
Jae-sung Lee,2.0
Heung-min Son,17.0
Ji-sung Eom,1.4
Hee-chan Hwang,10.0
Hyeon-gyu Oh,7.0
Sang-bin Jeong,1.8
