player_name,market_value_eur_millions
Ederson,13.0
Hugo Souza,11.0
Bento,9.0
Bremer,35.0
Marquinhos,30.0
Vitor Reis,30.0
Roger Ibanez,17.0
Leo Pereira,10.0
Danilo,2.5
Kaiki,12.0
Douglas Santos,8.0
Wesley,40.0
Fabinho,13.0
Casemiro,8.0
Andrey Santos,45.0
Danilo Nascimento,24.0
Gabriel Sara,22.0
Vinicius Junior,150.0
Raphinha,80.0
Gabriel Martinelli,45.0
Rayan,40.0
Luiz Henrique,24.0
Joao Pedro,75.0
Matheus Cunha,70.0
Igor Thiago,50.0
Endrick,35.0
