player_name,market_value_eur_millions
Lukas Hornicek,15.0
Matej Kovar,7.0
Martin Jedlicka,2.5
Ladislav Krejci,22.0
Martin Vitik,10.0
Robin Hranac,10.0
Stepan Chaloupek,8.0
Tomas Holes,1.2
Jaroslav Zeleny,0.7
David Jurasek,5.0
Vladimir Coufal,2.7
Tomas Soucek,12.0
Michal Sadilek,8.0
Lukas Cerv,6.0
Pavel Bucha,4.0
Vladimir Darida,0.4
Pavel Sulc,12.0
Lukas Provod,8.0
Adam Karabec,8.0
Denis Visinsky,1.8
Tomas Ladra,1.0
Patrik Schick,20.0
Mojmir Chytil,4.0
Tomas Chory,3.0
Jan Kliment,0.5
