player_name,market_value_eur_millions
Gregor Kobel,40.0
Marvin Keller,8.0
Yvon Mvogo,3.0
Manuel Akanji,22.0
Luca Jaquez,10.0
Nico Elvedi,8.0
Aurele Amenda,6.0
Becir Omeragic,4.0
Adrian Bajrami,3.0
Miro Muheim,4.0
Isaac Schmidt,2.2
Ricardo Rodriguez,1.5
Silvan Widmer,0.8
Granit Xhaka,10.0
Johan Manzambi,30.0
Simon Sohm,8.0
Djibril Sow,7.5
Michel Aebischer,4.5
Fabian Rieder,8.0
Christian Fassnacht,2.0
Ruben Vargas,12.0
Dan Ndoye,40.0
Breel Embolo,12.0
Andi Zeqiri,3.0
Cedric Itten,1.5
