player_name,market_value_eur_millions
Vozinha,0.15
Dylan Silva,0.6
Joao Paulo,0.5
Roberto Lopes,1.2
Logan Costa,18.0
Kevin Pina,2.5
Stopira,0.15
Steven Moreira,1.5
Willy Semedo,1.8
Jovane Cabral,2.5
Jamiro Monteiro,1.8
Deroy Duarte,1.2
Kenny Rocha Santos,2.0
Ryan Mendes,0.6
Benchimol,0.6
Bebe,0.4
